Country,Party,Dimension,Mean
CZ,ODS,Social,9.333333015
CZ,ODS,Privatization,17.52777863
CZ,ODS,EU joining,11.61111069
CZ,ODS,Environment,15.86111069
CZ,ODS,Former Communists,14.22222233
CZ,ODS,Foreign Land Ownership,11.25714302
CZ,ODS,Media Freedom,9.685714722
CZ,ODS,Nationalism,15.27777767
CZ,ODS,Religion,13.91666698
CZ,ODS,Urban-Rural,6.027777672
CZ,ODS,Decentralization,11.66666698
CZ,ODS,Left-Right,15.5
CZ,ODS,Sympathy,10.02857113
CZ,RMS,Taxes v. Spending,11.52000046
CZ,RMS,Social,15.92000008
CZ,RMS,Privatization,9.319999695
CZ,RMS,EU joining,4.400000095
CZ,RMS,Environment,13.33333302
CZ,RMS,Former Communists,16.47999954
CZ,RMS,Foreign Land Ownership,18.60000038
CZ,RMS,Media Freedom,13.347826
CZ,RMS,Nationalism,19.19230843
CZ,RMS,Religion,15.27999973
CZ,RMS,Urban-Rural,9.708333015
CZ,RMS,Decentralization,12.75
CZ,RMS,Left-Right,15.33333302
CZ,RMS,Sympathy,17.42307663
CZ,SNK,Taxes v. Spending,12.375
CZ,SNK,Social,8.960000038
CZ,SNK,Privatization,13.5
CZ,SNK,EU joining,15.375
CZ,SNK,Environment,10.70833302
CZ,SNK,Former Communists,11.20833302
CZ,SNK,Foreign Land Ownership,9.434782982
CZ,SNK,Media Freedom,7.75
CZ,SNK,Nationalism,9.958333015
CZ,SNK,Religion,12.30434799
CZ,SNK,Urban-Rural,11.39999962
CZ,SNK,Decentralization,3.5
CZ,SNK,Left-Right,11.47999954
CZ,SNK,Sympathy,11.5
CZ,SZ,Taxes v. Spending,5.965517044
CZ,SZ,Social,4.266666889
CZ,SZ,Privatization,7.428571224
CZ,SZ,EU joining,14.20689678
CZ,SZ,Environment,4.096774101
CZ,SZ,Former Communists,9.857142448
CZ,SZ,Foreign Land Ownership,11.24137974
CZ,SZ,Media Freedom,6.115384579
CZ,SZ,Nationalism,6.13793087
CZ,SZ,Religion,15.1785717
CZ,SZ,Urban-Rural,9.5
CZ,SZ,Decentralization,6.392857075
CZ,SZ,Left-Right,7.433333397
CZ,SZ,Sympathy,11.27586174
CZ,SZJ,Taxes v. Spending,7
CZ,SZJ,Social,7
CZ,SZJ,Privatization,7
CZ,SZJ,Environment,16
CZ,SZJ,Former Communists,2
CZ,SZJ,Foreign Land Ownership,12
CZ,SZJ,Media Freedom,4
CZ,SZJ,Nationalism,18
CZ,SZJ,Religion,14
CZ,SZJ,Urban-Rural,5
CZ,SZJ,Decentralization,15
CZ,SZJ,Left-Right,7
CZ,SZJ,Sympathy,10
CZ,US,Taxes v. Spending,15.32352924
CZ,US,Social,5.138888836
CZ,US,Privatization,17.19444466
CZ,US,EU joining,18.38888931
CZ,US,Environment,12.72727299
CZ,US,Former Communists,16.66666603
CZ,US,Foreign Land Ownership,6.166666508
CZ,US,Media Freedom,4.833333492
CZ,US,Nationalism,5.599999905
CZ,US,Religion,12.19999981
CZ,US,Urban-Rural,5.714285851
CZ,US,Decentralization,7.057142735
CZ,US,Left-Right,15.55555534
CZ,US,Sympathy,13.22857189
EE,EKRP,Taxes v. Spending,10
EE,EKRP,Social,19.60000038
EE,EKRP,Privatization,6
EE,EKRP,EU joining,3
EE,EKRP,Environment,8.666666985
EE,EKRP,Former Communists,14.5
EE,EKRP,Foreign Land Ownership,18
EE,EKRP,Media Freedom,14.66666698
EE,EKRP,Nationalism,16.66666603
EE,EKRP,Religion,2.200000048
EE,EKRP,Urban-Rural,10
EE,EKRP,Decentralization,13
EE,EKRP,Left-Right,15.39999962
EE,EKRP,Sympathy,16.7142849
EE,ESDTP,Taxes v. Spending,5.833333492
EE,ESDTP,Social,13.33333302
EE,ESDTP,Privatization,4.75
EE,ESDTP,EU joining,4
EE,ESDTP,Environment,10.5
EE,ESDTP,Former Communists,2.142857075
EE,ESDTP,Foreign Land Ownership,16.25
EE,ESDTP,Media Freedom,14.5
EE,ESDTP,Nationalism,9.166666985
EE,ESDTP,Religion,17
EE,ESDTP,Urban-Rural,8.333333015
EE,ESDTP,Decentralization,11
EE,ESDTP,Left-Right,4
EE,ESDTP,Sympathy,13.71428585
EE,EURP,Taxes v. Spending,7.75
EE,EURP,Social,13
EE,EURP,Privatization,6.5
EE,EURP,EU joining,12.33333302
EE,EURP,Environment,10.5
EE,EURP,Former Communists,3.166666746
EE,EURP,Foreign Land Ownership,8
EE,EURP,Media Freedom,14
EE,EURP,Nationalism,3.333333254
EE,EURP,Religion,7.5
EE,EURP,Urban-Rural,4.166666508
EE,EURP,Decentralization,9.25
EE,EURP,Left-Right,8.285714149
EE,EURP,Sympathy,13.83333302
EE,Isam,Taxes v. Spending,12.83333302
EE,Isam,Social,14.60000038
EE,Isam,Privatization,16.20000076
EE,Isam,EU joining,17
EE,Isam,Environment,13
EE,Isam,Former Communists,17.8571434
EE,Isam,Foreign Land Ownership,7.400000095
EE,Isam,Media Freedom,7.599999905
EE,Isam,Nationalism,19.1428566
EE,Isam,Religion,6.599999905
EE,Isam,Urban-Rural,8.428571701
EE,Isam,Decentralization,10.5
EE,Isam,Left-Right,14.14285755
EE,Isam,Sympathy,11.4285717
EE,Kesk,Taxes v. Spending,8
EE,Kesk,Social,12
EE,Kesk,Privatization,10.80000019
EE,Kesk,EU joining,9.5
EE,Kesk,Environment,12.75
EE,Kesk,Former Communists,4.428571224
EE,Kesk,Foreign Land Ownership,11.19999981
EE,Kesk,Media Freedom,11.80000019
EE,Kesk,Nationalism,11.85714245
EE,Kesk,Religion,14.19999981
EE,Kesk,Urban-Rural,9.714285851
EE,Kesk,Decentralization,12.83333302
EE,Kesk,Left-Right,8.857142448
EE,Kesk,Sympathy,10.4285717
EE,Mood,Taxes v. Spending,7.333333492
EE,Mood,Social,6.599999905
EE,Mood,Privatization,12
EE,Mood,EU joining,18.60000038
EE,Mood,Environment,9.75
EE,Mood,Former Communists,10
EE,Mood,Foreign Land Ownership,8.5
EE,Mood,Media Freedom,6.599999905
EE,Mood,Nationalism,10.71428585
EE,Mood,Religion,13.19999981
EE,Mood,Urban-Rural,9.714285851
EE,Mood,Decentralization,6.833333492
EE,Mood,Left-Right,9.142857552
EE,Mood,Sympathy,5.428571224
EE,RL,Taxes v. Spending,11.83333302
EE,RL,Social,16
EE,RL,Privatization,8
EE,RL,EU joining,14
EE,RL,Environment,8
EE,RL,Former Communists,5
EE,RL,Foreign Land Ownership,16.79999924
EE,RL,Media Freedom,11.75
EE,RL,Nationalism,17.5714283
EE,RL,Religion,9.600000381
EE,RL,Urban-Rural,19.1428566
EE,RL,Decentralization,7.5
EE,RL,Left-Right,10.4285717
EE,RL,Sympathy,11.66666698
EE,Ref,Taxes v. Spending,19.33333397
EE,Ref,Social,10.39999962
EE,Ref,Privatization,19.39999962
EE,Ref,EU joining,17.20000076
EE,Ref,Environment,16
EE,Ref,Former Communists,7.166666508
EE,Ref,Foreign Land Ownership,2.200000048
EE,Ref,Media Freedom,3.400000095
EE,Ref,Nationalism,9.142857552
EE,Ref,Religion,12.60000038
EE,Ref,Urban-Rural,1.714285731
EE,Ref,Decentralization,12.33333302
EE,Ref,Left-Right,19.2857151
EE,Ref,Sympathy,16.8571434
EE,ResP,Taxes v. Spending,16.66666603
EE,ResP,Social,12.60000038
EE,ResP,Privatization,16.39999962
EE,ResP,EU joining,18.60000038
EE,ResP,Environment,14.5
EE,ResP,Former Communists,11
EE,ResP,Foreign Land Ownership,4.5
EE,ResP,Media Freedom,5.800000191
EE,ResP,Nationalism,12.14285755
EE,ResP,Religion,8.399999619
EE,ResP,Urban-Rural,5.142857075
EE,ResP,Decentralization,13.16666698
EE,ResP,Left-Right,17.1428566
EE,ResP,Sympathy,13.85714245
HU,CENTRUM,Taxes v. Spending,11.19999981
HU,CENTRUM,Social,9.833333015
HU,CENTRUM,Privatization,11.42307663
HU,CENTRUM,EU joining,15.79166698
HU,CENTRUM,Environment,8.807692528
HU,CENTRUM,Former Communists,9.279999733
HU,CENTRUM,Foreign Land Ownership,8.600000381
HU,CENTRUM,Media Freedom,7.559999943
HU,CENTRUM,Nationalism,10.43999958
HU,CENTRUM,Religion,11.590909
HU,CENTRUM,Urban-Rural,9.5
HU,CENTRUM,Decentralization,8.25
HU,CENTRUM,Left-Right,9.814814568
HU,CENTRUM,Sympathy,10.53846169
HU,FIDESZ,Taxes v. Spending,9.292682648
HU,FIDESZ,Social,15.1219511
HU,FIDESZ,Privatization,9.073170662
HU,FIDESZ,EU joining,12.92500019
HU,FIDESZ,Environment,10.42105293
HU,FIDESZ,Former Communists,15.04761887
HU,FIDESZ,Foreign Land Ownership,15.80952358
HU,FIDESZ,Media Freedom,11.39024353
HU,FIDESZ,Nationalism,16.16666603
HU,FIDESZ,Religion,5.550000191
HU,FIDESZ,Urban-Rural,13.30000019
HU,FIDESZ,Decentralization,12.60526276
HU,FIDESZ,Left-Right,15.09523773
HU,FIDESZ,Sympathy,11.97297287
HU,FKGP,Taxes v. Spending,9.958333015
HU,FKGP,Social,17.38461494
HU,FKGP,Privatization,10.65384579
HU,FKGP,EU joining,8.039999962
HU,FKGP,Environment,10.13636398
HU,FKGP,Former Communists,17.18518448
HU,FKGP,Foreign Land Ownership,18.85185242
HU,FKGP,Media Freedom,15.19999981
HU,FKGP,Nationalism,18.18518448
HU,FKGP,Religion,5.159999847
HU,FKGP,Urban-Rural,17.8571434
HU,FKGP,Decentralization,13
HU,FKGP,Left-Right,17.1785717
HU,FKGP,Sympathy,17.07407379
HU,MDF,Taxes v. Spending,9.94594574
HU,MDF,Social,14.92500019
HU,MDF,Privatization,10.42500019
HU,MDF,EU joining,16.28205109
HU,MDF,Environment,9.5
HU,MDF,Former Communists,12.82926846
HU,MDF,Foreign Land Ownership,14.60000038
HU,MDF,Media Freedom,11.18421078
HU,MDF,Nationalism,16
HU,MDF,Religion,4.837837696
HU,MDF,Urban-Rural,12.89189148
HU,MDF,Decentralization,10.72222233
HU,MDF,Left-Right,13.625
HU,MDF,Sympathy,10.66666698
HU,MIEP,Taxes v. Spending,7.866666794
HU,MIEP,Social,19.02857208
HU,MIEP,Privatization,5.942857265
HU,MIEP,EU joining,2.529411793
HU,MIEP,Environment,9.103447914
HU,MIEP,Former Communists,18.94444466
HU,MIEP,Foreign Land Ownership,18.97222137
HU,MIEP,Media Freedom,16.02857208
HU,MIEP,Nationalism,19.75
HU,MIEP,Religion,5
HU,MIEP,Urban-Rural,10.87878799
HU,MIEP,Decentralization,15.60714245
HU,MIEP,Left-Right,19.05555534
HU,MIEP,Sympathy,17.97142792
HU,MSZP,Taxes v. Spending,10.46341419
HU,MSZP,Social,7.439024448
HU,MSZP,Privatization,12.97560978
HU,MSZP,EU joining,19.02499962
HU,MSZP,Environment,11.94594574
HU,MSZP,Former Communists,3.571428537
HU,MSZP,Foreign Land Ownership,6.761904716
HU,MSZP,Media Freedom,7.146341324
HU,MSZP,Nationalism,8.380952835
HU,MSZP,Religion,15.82499981
HU,MSZP,Urban-Rural,8
HU,MSZP,Decentralization,8.368420601
HU,MSZP,Left-Right,7.023809433
HU,MSZP,Sympathy,8.94594574
HU,MUNKAS,Taxes v. Spending,6.099999905
HU,MUNKAS,Social,12.0370369
HU,MUNKAS,Privatization,3.558823586
HU,MUNKAS,EU joining,7.34375
HU,MUNKAS,Environment,10.69230747
HU,MUNKAS,Former Communists,1.6875
HU,MUNKAS,Foreign Land Ownership,14.88888931
HU,MUNKAS,Media Freedom,13.33333302
HU,MUNKAS,Nationalism,8.142857552
HU,MUNKAS,Religion,17.29032326
HU,MUNKAS,Urban-Rural,6.14814806
HU,MUNKAS,Decentralization,12.19999981
HU,MUNKAS,Left-Right,2.200000048
HU,MUNKAS,Sympathy,17.58064461
HU,SZDSZ,Taxes v. Spending,15.17073154
HU,SZDSZ,Social,2.299999952
HU,SZDSZ,Privatization,17.125
HU,SZDSZ,EU joining,19.23077011
HU,SZDSZ,Environment,10.58333302
HU,SZDSZ,Former Communists,8.36585331
HU,SZDSZ,Foreign Land Ownership,4.073170662
HU,SZDSZ,Media Freedom,3.775000095
HU,SZDSZ,Nationalism,4.804878235
HU,SZDSZ,Religion,17.69230843
HU,SZDSZ,Urban-Rural,3.769230843
HU,SZDSZ,Decentralization,5.405405521
HU,SZDSZ,Left-Right,8.243902206
HU,SZDSZ,Sympathy,9.638889313
LV,JL,Taxes v. Spending,14.75
LV,JL,Social,11.625
LV,JL,Privatization,16.375
LV,JL,EU joining,18.625
LV,JL,Environment,13.125
LV,JL,Former Communists,14.25
LV,JL,Foreign Land Ownership,10.25
LV,JL,Media Freedom,12.125
LV,JL,Nationalism,13.25
LV,JL,Religion,10.125
LV,JL,Urban-Rural,7
LV,JL,Decentralization,17.2857151
LV,JL,Left-Right,16.5
LV,JL,Sympathy,9.285714149
LV,LPP,Taxes v. Spending,12.625
LV,LPP,Social,18.375
LV,LPP,Privatization,14.875
LV,LPP,EU joining,17.25
LV,LPP,Environment,12.25
LV,LPP,Former Communists,13.5714283
LV,LPP,Foreign Land Ownership,7.857142925
LV,LPP,Media Freedom,10.14285755
LV,LPP,Nationalism,11.625
LV,LPP,Religion,3.25
LV,LPP,Urban-Rural,7.285714149
LV,LPP,Decentralization,10.71428585
LV,LPP,Left-Right,13.375
LV,LPP,Sympathy,12.85714245
LV,PCTVL,Taxes v. Spending,7
LV,PCTVL,Social,12.25
LV,PCTVL,Privatization,4.5
LV,PCTVL,EU joining,7.375
LV,PCTVL,Environment,10.85714245
LV,PCTVL,Former Communists,1.75
LV,PCTVL,Foreign Land Ownership,9.857142448
LV,PCTVL,Media Freedom,10.14285755
LV,PCTVL,Nationalism,3.5
LV,PCTVL,Religion,18
LV,PCTVL,Urban-Rural,5.125
LV,PCTVL,Decentralization,7.666666508
LV,PCTVL,Left-Right,3.375
LV,PCTVL,Sympathy,17.2857151
LV,TB/LNNK,Taxes v. Spending,12.875
LV,TB/LNNK,Social,14.5
LV,TB/LNNK,Privatization,13.875
LV,TB/LNNK,EU joining,15.625
LV,TB/LNNK,Environment,11.125
LV,TB/LNNK,Former Communists,17.125
LV,TB/LNNK,Foreign Land Ownership,17.25
LV,TB/LNNK,Media Freedom,9.25
LV,TB/LNNK,Nationalism,19.25
LV,TB/LNNK,Religion,12.5
LV,TB/LNNK,Urban-Rural,11
LV,TB/LNNK,Decentralization,12.5
LV,TB/LNNK,Left-Right,16.25
LV,TB/LNNK,Sympathy,13.28571415
LV,TP,Taxes v. Spending,14.875
LV,TP,Social,13.625
LV,TP,Privatization,17.375
LV,TP,EU joining,18.375
LV,TP,Environment,14.75
LV,TP,Former Communists,14.375
LV,TP,Foreign Land Ownership,9.5
LV,TP,Media Freedom,8
LV,TP,Nationalism,16
LV,TP,Religion,12
LV,TP,Urban-Rural,8.375
LV,TP,Decentralization,14.14285755
LV,TP,Left-Right,18.125
LV,TP,Sympathy,10.85714245
LV,TSP,Taxes v. Spending,7.375
LV,TSP,Social,10.5
LV,TSP,Privatization,7.375
LV,TSP,EU joining,12.5
LV,TSP,Environment,11.125
LV,TSP,Former Communists,3.5
LV,TSP,Foreign Land Ownership,8.571428299
LV,TSP,Media Freedom,7.285714149
LV,TSP,Nationalism,4.375
LV,TSP,Religion,16.625
LV,TSP,Urban-Rural,5.75
LV,TSP,Decentralization,7.166666508
LV,TSP,Left-Right,6.875
LV,TSP,Sympathy,12.4285717
LV,ZZS,Taxes v. Spending,11.25
LV,ZZS,Social,12.625
LV,ZZS,Privatization,12
LV,ZZS,EU joining,13.875
LV,ZZS,Environment,6.5
LV,ZZS,Former Communists,10.625
LV,ZZS,Foreign Land Ownership,15.25
LV,ZZS,Media Freedom,8
LV,ZZS,Nationalism,15
LV,ZZS,Religion,11.625
LV,ZZS,Urban-Rural,17
LV,ZZS,Decentralization,9.857142448
LV,ZZS,Left-Right,11
LV,ZZS,Sympathy,11.5714283
LT,LDP,Taxes v. Spending,11.78947353
LT,LDP,Social,11.68421078
LT,LDP,Privatization,13.26315784
LT,LDP,EU joining,13.89473724
LT,LDP,Environment,11.5
LT,LDP,Foreign Land Ownership,9.833333015
LT,LDP,Media Freedom,11.10526276
LT,LDP,Nationalism,13.57894707
LT,LDP,Religion,11.10526276
LT,LDP,Urban-Rural,12
LT,LDP,Decentralization,8.947368622
LT,LDP,Left-Right,11.88888931
LT,LDP,Civil Liberties,14.31578922
LT,LDP,Neighbor Relations,9.894737244
LT,LDP,Sympathy,14.72222233
LT,LKD,Taxes v. Spending,9.105262756
LT,LKD,Social,18.42105293
LT,LKD,Privatization,10.15789509
LT,LKD,EU joining,15.57894707
LT,LKD,Environment,10.44444466
LT,LKD,Foreign Land Ownership,13.27777767
LT,LKD,Media Freedom,15.83333302
LT,LKD,Nationalism,15.89473724
LT,LKD,Religion,3.526315689
LT,LKD,Urban-Rural,13.23529434
LT,LKD,Decentralization,10.6315794
LT,LKD,Left-Right,13.21052647
LT,LKD,Civil Liberties,14.94736862
LT,LKD,Neighbor Relations,16.7368412
LT,LKD,Sympathy,14.77777767
LT,LKDS,Taxes v. Spending,13
LT,LKDS,Social,19
LT,LKDS,Privatization,14
LT,LKDS,EU joining,14
LT,LKDS,Environment,7
LT,LKDS,Foreign Land Ownership,9
LT,LKDS,Media Freedom,8
LT,LKDS,Nationalism,11
LT,LKDS,Religion,8
LT,LKDS,Urban-Rural,15
LT,LKDS,Decentralization,4
LT,LKDS,Left-Right,13
LT,LKDS,Civil Liberties,11
LT,LKDS,Neighbor Relations,16
LT,LKDS,Sympathy,15
LT,LSDP,Taxes v. Spending,6.526315689
LT,LSDP,Social,10.10000038
LT,LSDP,Privatization,8.550000191
LT,LSDP,EU joining,16.60000038
LT,LSDP,Environment,11.75
LT,LSDP,Foreign Land Ownership,9.5
LT,LSDP,Media Freedom,9.473684311
LT,LSDP,Nationalism,9.350000381
LT,LSDP,Religion,15.5
LT,LSDP,Urban-Rural,11.33333302
LT,LSDP,Decentralization,10.57894707
LT,LSDP,Left-Right,6.6842103
LT,LSDP,Civil Liberties,10.19999981
LT,LSDP,Neighbor Relations,11.94999981
LT,LSDP,Sympathy,10.88888931
LT,LiCS,Taxes v. Spending,16.63157845
LT,LiCS,Social,6.421052456
LT,LiCS,Privatization,17.89473724
LT,LiCS,EU joining,18.52631569
LT,LiCS,Environment,13.15789509
LT,LiCS,Foreign Land Ownership,3.684210539
LT,LiCS,Media Freedom,3.578947306
LT,LiCS,Nationalism,5.631578922
LT,LiCS,Religion,15.42105293
LT,LiCS,Urban-Rural,4.888888836
LT,LiCS,Decentralization,6.842105389
LT,LiCS,Left-Right,15.73684216
LT,LiCS,Civil Liberties,5.631578922
LT,LiCS,Neighbor Relations,16.68420982
LT,LiCS,Sympathy,6
LT,NS/SL,Taxes v. Spending,8.842104912
LT,NS/SL,Social,9.210526466
LT,NS/SL,Privatization,11.68421078
LT,NS/SL,EU joining,16.47368431
LT,NS/SL,Environment,11.52631569
LT,NS/SL,Foreign Land Ownership,8.631579399
LT,NS/SL,Media Freedom,8.055555344
LT,NS/SL,Nationalism,8.388889313
LT,NS/SL,Religion,15.10526276
LT,NS/SL,Urban-Rural,8.888889313
LT,NS/SL,Decentralization,9.736842155
LT,NS/SL,Left-Right,9.105262756
LT,NS/SL,Civil Liberties,9.368420601
LT,NS/SL,Neighbor Relations,12.21052647
LT,NS/SL,Sympathy,10.38888931
LT,TS,Taxes v. Spending,12.6315794
LT,TS,Social,15.84210491
LT,TS,Privatization,15.42105293
LT,TS,EU joining,18.7368412
LT,TS,Environment,10.84210491
LT,TS,Foreign Land Ownership,6.789473534
LT,TS,Media Freedom,13.15789509
LT,TS,Nationalism,14.78947353
LT,TS,Religion,6.736842155
LT,TS,Urban-Rural,9.444444656
LT,TS,Decentralization,9.157895088
LT,TS,Left-Right,15.73684216
LT,TS,Civil Liberties,12.26315784
LT,TS,Neighbor Relations,18.63157845
LT,TS,Sympathy,10.66666698
LT,VNDPS,Taxes v. Spending,8.058823586
LT,VNDPS,Social,12.11764717
LT,VNDPS,Privatization,8.842104912
LT,VNDPS,EU joining,11.05263138
LT,VNDPS,Environment,10.22222233
LT,VNDPS,Foreign Land Ownership,16.7368412
LT,VNDPS,Media Freedom,9.833333015
LT,VNDPS,Nationalism,13.11111069
LT,VNDPS,Religion,12.31578922
LT,VNDPS,Urban-Rural,16.42105293
LT,VNDPS,Decentralization,10.47368431
LT,VNDPS,Left-Right,7.210526466
LT,VNDPS,Civil Liberties,13.15789509
LT,VNDPS,Neighbor Relations,9.789473534
LT,VNDPS,Sympathy,14.5
MK,DA,Taxes v. Spending,12.28571415
MK,DA,Social,9.166666985
MK,DA,Privatization,15.55555534
MK,DA,EU joining,16.44444466
MK,DA,Environment,13.44444466
MK,DA,Former Communists,4.5
MK,DA,Foreign Land Ownership,9.111110687
MK,DA,Media Freedom,8.222222328
MK,DA,Nationalism,7.555555344
MK,DA,Religion,15.33333302
MK,DA,Urban-Rural,6
MK,DA,Decentralization,8.555555344
MK,DA,Left-Right,9.555555344
MK,DA,Sympathy,11.88888931
MK,DPA,Taxes v. Spending,14.18181801
MK,DPA,Social,18.66666603
MK,DPA,Privatization,14.909091
MK,DPA,EU joining,17.09090996
MK,DPA,Environment,15.27272701
MK,DPA,Former Communists,11.625
MK,DPA,Foreign Land Ownership,6.181818008
MK,DPA,Media Freedom,13.45454502
MK,DPA,Nationalism,15.909091
MK,DPA,Religion,4.818181992
MK,DPA,Urban-Rural,14.81818199
MK,DPA,Decentralization,2.909090996
MK,DPA,Left-Right,14.63636398
MK,DPA,Sympathy,18.89999962
MK,DS,Taxes v. Spending,12.16666698
MK,DS,Social,12.19999981
MK,DS,Privatization,12.4285717
MK,DS,EU joining,14.625
MK,DS,Environment,14.14285755
MK,DS,Former Communists,6.5
MK,DS,Foreign Land Ownership,12.875
MK,DS,Media Freedom,9.125
MK,DS,Nationalism,12
MK,DS,Religion,14
MK,DS,Urban-Rural,7.625
MK,DS,Decentralization,10.75
MK,DS,Left-Right,7.125
MK,DS,Sympathy,13
MK,DUI,Taxes v. Spending,8.818181992
MK,DUI,Social,15.66666698
MK,DUI,Privatization,14.81818199
MK,DUI,EU joining,18.27272797
MK,DUI,Environment,14.54545498
MK,DUI,Former Communists,9.142857552
MK,DUI,Foreign Land Ownership,5.909090996
MK,DUI,Media Freedom,10.72727299
MK,DUI,Nationalism,11.090909
MK,DUI,Religion,9.727272987
MK,DUI,Urban-Rural,13.45454502
MK,DUI,Decentralization,2.636363745
MK,DUI,Left-Right,9.454545021
MK,DUI,Sympathy,15.81818199
MK,LDP,Taxes v. Spending,8.545454979
MK,LDP,Social,9.333333015
MK,LDP,Privatization,14.81818199
MK,LDP,EU joining,18.27272797
MK,LDP,Environment,13.45454502
MK,LDP,Former Communists,6.25
MK,LDP,Foreign Land Ownership,9.181818008
MK,LDP,Media Freedom,7.363636494
MK,LDP,Nationalism,5.599999905
MK,LDP,Religion,16.63636398
MK,LDP,Urban-Rural,4.181818008
MK,LDP,Decentralization,7.545454502
MK,LDP,Left-Right,9.454545021
MK,LDP,Sympathy,7.363636494
MK,LP,Taxes v. Spending,12.54545498
MK,LP,Social,8.5
MK,LP,Privatization,16.54545403
MK,LP,EU joining,18.54545403
MK,LP,Environment,14.27272701
MK,LP,Former Communists,8.625
MK,LP,Foreign Land Ownership,9
MK,LP,Media Freedom,9.454545021
MK,LP,Nationalism,7.599999905
MK,LP,Religion,14.18181801
MK,LP,Urban-Rural,5.636363506
MK,LP,Decentralization,10.36363602
MK,LP,Left-Right,11.909091
MK,LP,Sympathy,10.36363602
MK,PDP,Taxes v. Spending,11.36363602
MK,PDP,Social,15.5
MK,PDP,Privatization,13.909091
MK,PDP,EU joining,17.45454597
MK,PDP,Environment,15.33333302
MK,PDP,Former Communists,5.625
MK,PDP,Foreign Land Ownership,7.090909004
MK,PDP,Media Freedom,10.36363602
MK,PDP,Nationalism,14.10000038
MK,PDP,Religion,7.090909004
MK,PDP,Urban-Rural,12.63636398
MK,PDP,Decentralization,2.818181753
MK,PDP,Left-Right,10.45454502
MK,PDP,Sympathy,15.36363602
MK,SDSM,Taxes v. Spending,7
MK,SDSM,Social,8.666666985
MK,SDSM,Privatization,13.72727299
MK,SDSM,EU joining,18.54545403
MK,SDSM,Environment,13.63636398
MK,SDSM,Former Communists,3.75
MK,SDSM,Foreign Land Ownership,10.63636398
MK,SDSM,Media Freedom,11.36363602
MK,SDSM,Nationalism,6.545454502
MK,SDSM,Religion,18
MK,SDSM,Urban-Rural,7.090909004
MK,SDSM,Decentralization,6.909090996
MK,SDSM,Left-Right,6.454545498
MK,SDSM,Sympathy,7.272727489
MK,SPM,Taxes v. Spending,9.181818008
MK,SPM,Social,15.33333302
MK,SPM,Privatization,9.727272987
MK,SPM,EU joining,11.39999962
MK,SPM,Environment,14.77777767
MK,SPM,Former Communists,2.75
MK,SPM,Foreign Land Ownership,16.27272797
MK,SPM,Media Freedom,13.63636398
MK,SPM,Nationalism,9.181818008
MK,SPM,Religion,17.89999962
MK,SPM,Urban-Rural,9
MK,SPM,Decentralization,12.18181801
MK,SPM,Left-Right,3.799999952
MK,SPM,Sympathy,14.090909
MK,VMRO-DPMNE,Taxes v. Spending,11.81818199
MK,VMRO-DPMNE,Social,17.33333397
MK,VMRO-DPMNE,Privatization,16.09090996
MK,VMRO-DPMNE,EU joining,17.36363602
MK,VMRO-DPMNE,Environment,13.45454502
MK,VMRO-DPMNE,Former Communists,14.75
MK,VMRO-DPMNE,Foreign Land Ownership,9.363636017
MK,VMRO-DPMNE,Media Freedom,13.81818199
MK,VMRO-DPMNE,Nationalism,17.54545403
MK,VMRO-DPMNE,Religion,4.181818008
MK,VMRO-DPMNE,Urban-Rural,14.090909
MK,VMRO-DPMNE,Decentralization,12.10000038
MK,VMRO-DPMNE,Left-Right,15.18181801
MK,VMRO-DPMNE,Sympathy,12.54545498
MD,ASLMN,Taxes v. Spending,9.727272987
MD,ASLMN,Social,11.10000038
MD,ASLMN,Privatization,13.69999981
MD,ASLMN,EU joining,12.91666698
MD,ASLMN,Environment,10.44444466
MD,ASLMN,Former Communists,10.55555534
MD,ASLMN,Foreign Land Ownership,7
MD,ASLMN,Media Freedom,6.25
MD,ASLMN,Nationalism,11.27272701
MD,ASLMN,Religion,10.69999981
MD,ASLMN,Urban-Rural,8.363636017
MD,ASLMN,Decentralization,6.75
MD,ASLMN,Left-Right,11.60000038
MD,ASLMN,Sympathy,9.090909004
MD,PCRM,Taxes v. Spending,4.166666508
MD,PCRM,Social,14
MD,PCRM,Privatization,6.599999905
MD,PCRM,EU joining,10.16666698
MD,PCRM,Environment,10.19999981
MD,PCRM,Former Communists,5.454545498
MD,PCRM,Foreign Land Ownership,13
MD,PCRM,Media Freedom,13.5
MD,PCRM,Nationalism,11
MD,PCRM,Religion,14.39999962
MD,PCRM,Urban-Rural,13.66666698
MD,PCRM,Decentralization,13.81818199
MD,PCRM,Left-Right,5.363636494
MD,PCRM,Sympathy,14.45454502
MD,PDAM,Taxes v. Spending,10.81818199
MD,PDAM,Social,11.89999962
MD,PDAM,Privatization,10.090909
MD,PDAM,EU joining,9.090909004
MD,PDAM,Environment,11.11111069
MD,PDAM,Former Communists,7.5
MD,PDAM,Foreign Land Ownership,14
MD,PDAM,Media Freedom,10.45454502
MD,PDAM,Nationalism,13
MD,PDAM,Religion,12.11111069
MD,PDAM,Urban-Rural,16.18181801
MD,PDAM,Decentralization,11.89999962
MD,PDAM,Left-Right,9.399999619
MD,PDAM,Sympathy,14.5
MD,PDM,Taxes v. Spending,11.27272701
MD,PDM,Social,10
MD,PDM,Privatization,11.5
MD,PDM,EU joining,14
MD,PDM,Environment,11.22222233
MD,PDM,Former Communists,7.400000095
